"Address Line 1",City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1020 DRAYTON STREET",SAVANNAH,GA,31401,32.064685,-81.095936,1,rooftop,1020,"Drayton St",,,Savannah,GA,"Chatham County",31401,US,"City of Savannah"
"611 COOK STREET",ROYSTON,GA,30662,34.284513,-83.122439,1,range_interpolation,611,"Cook St",,,Royston,GA,"Franklin County",30662,US,"TIGER/Line® dataset from the US Census Bureau"
"605 OLD NORCROSS ROAD",LAWRENCEVILLE,GA,30045,33.959614,-84.008377,0.9,rooftop,605,"Old Norcross Rd",,,Lawrenceville,GA,"Gwinnett County",30046,US,Gwinnett
"521 NORTH EXPRESSWAY",GRIFFIN,GA,30223,33.249909,-84.287296,1,range_interpolation,521,"N Expy",,,Griffin,GA,"Spalding County",30223,US,"TIGER/Line® dataset from the US Census Bureau"
"624 LOVE AVE",TIFTON,GA,31794,31.458994,-83.507429,1,range_interpolation,624,"Love Ave",,,Tifton,GA,"Tift County",31794,US,"TIGER/Line® dataset from the US Census Bureau"
"135 AVERA DRIVE","FORT VALLEY",GA,31030,32.566548,-83.877551,1,range_interpolation,135,"Avera Dr",,,"Fort Valley",GA,"Peach County",31030,US,"TIGER/Line® dataset from the US Census Bureau"
"1275 CLEVELAND AVE 1ST FL",ATLANTA,GA,30344,33.680265,-84.430634,1,rooftop,1275,"Cleveland Ave",Fl,1,Atlanta,GA,"Fulton County",30344,US,"Fulton County"
"506 ROSWELL STREET",MARIETTA,GA,30060,33.949721,-84.537756,1,rooftop,506,"Roswell St",,,Marietta,GA,"Cobb County",30060,US,"City of Marietta"
"91 MARTIN LUTHER KING JR. DRIVE",FORSYTH,GA,31029,33.030436,-83.947041,1,range_interpolation,91,"Martin Luther King Jr Dr",,,Forsyth,GA,"Monroe County",31029,US,"TIGER/Line® dataset from the US Census Bureau"
"10680 MEDLOCK BRIDGE RD  STE 103",DULUTH,GA,30097,34.042369,-84.185446,1,rooftop,10680,"Medlock Bridge Rd",Ste,103,Duluth,GA,"Fulton County",30097,US,"City of Johns Creek"
"2485 PARK CENTRAL BLVD",DECATUR,GA,30035,33.714927,-84.173825,1,rooftop,2485,"Park Central Blvd",,,Decatur,GA,"DeKalb County",30035,US,Dekalb
"1109 MEDICAL CENTER DRIVE",AUGUSTA,GA,30909,33.483506,-82.092296,1,rooftop,1109,"Medical Center Dr",,,Augusta,GA,"Richmond County",30909,US,Richmond
"5615 OLD NATIONAL HWY",ATLANTA,GA,30349,33.601702,-84.472148,1,range_interpolation,5615,"Old National Hwy",,,Atlanta,GA,"Fulton County",30349,US,"TIGER/Line® dataset from the US Census Bureau"
"3546 HWY 138 SE",STOCKBRIDGE,GA,30281,33.549545,-84.272749,1,rooftop,3546,"Highway 138",,,Stockbridge,GA,"Clayton County",30281,US,"Clayton County"
"2930 SPRINGDALE ROAD",BRUNSWICK,GA,31520,31.172263,-81.476296,1,rooftop,2930,"Springdale Rd",,,Brunswick,GA,"Glynn County",31520,US,Glynn
"3268 GREENBRIAR PKWY, SW",ATLANTA,GA,30331,33.68557,-84.496572,1,rooftop,3268,"Greenbriar Pkwy SW",,,Atlanta,GA,"Fulton County",30331,US,"Fulton County"
"5775 PEACHTREE DUNWOODY RD, STE C110",ATLANTA,GA,30342,33.911597,-84.350521,1,rooftop,5775,"Peachtree Dunwoody Rd",Ste,C110,Atlanta,GA,"Fulton County",30342,US,"City of Sandy Springs"
"558 MEDLOCK ROAD",DECATUR,GA,30030,33.792478,-84.290499,1,rooftop,558,"Medlock Rd",,,Decatur,GA,"DeKalb County",30030,US,Dekalb
"522 EG MILES PARKWAY",HINESVILLE,GA,31313,31.844789,-81.612554,0.33,place,,,,,Hinesville,GA,"Liberty County",31313,US,"TIGER/Line® dataset from the US Census Bureau"
"906 E FIRST STREET",VIDALIA,GA,30474,32.213695,-82.401412,1,rooftop,906,"E 1st St",,,Vidalia,GA,"Toombs County",30474,US,Toombs
"1451 A GA HWY 21 SOUTH",SPRINGFIELD,GA,31329,32.349083,-81.276514,0.6,street_center,,"State Rte 21",,,Springfield,GA,"Effingham County",31329,US,"TIGER/Line® dataset from the US Census Bureau"
"449 INDUSTRIAL BOULEVARD",ELLIJAY,GA,30540,34.686074,-84.483048,0.6,street_center,,"Industrial Blvd",,,Ellijay,GA,"Gilmer County",30540,US,"TIGER/Line® dataset from the US Census Bureau"
"72 APPALACHIAN AVENUE",BLAIRSVILLE,GA,30512,34.984853,-84.055943,0.6,street_center,,"Appalachian Hls",,,Blairsville,GA,"Union County",30512,US,"TIGER/Line® dataset from the US Census Bureau"
"220 UVALDA ST",WAYCROSS,GA,31501,31.221633,-82.348672,1,rooftop,220,"Uvalda St",,,Waycross,GA,"Ware County",31501,US,Ware
"102 ERLANGER SOUTH DRIVE",RINGGOLD,GA,30736,34.888709,-85.118699,0.33,place,,,,,Ringgold,GA,"Catoosa County",30736,US,"TIGER/Line® dataset from the US Census Bureau"
"1240 HWY 54 WEST STE 408",FAYETTEVILLE,GA,30215,33.449946,-84.506874,0.9,rooftop,1240,"W Highway 54",Ste,408,Fayetteville,GA,"Fayette County",30214,US,Fayette
"1921 W OAKRIDGE DR",ALBANY,GA,31707,31.549275,-84.214853,1,range_interpolation,1921,"W Oakridge Dr",,,Albany,GA,"Dougherty County",31707,US,"TIGER/Line® dataset from the US Census Bureau"
"1010 EDGEFIELD DRIVE",TIFTON,GA,31794,31.467778,-83.488224,1,rooftop,1010,"Edgefield Dr",,,Tifton,GA,"Tift County",31794,US,Tift
"105 MELVIN PAGE DR",VIDALIA,GA,30474,32.199892,-82.390375,1,rooftop,105,"Melvin Page St",,,Vidalia,GA,"Toombs County",30474,US,Toombs
"1350 MONTREAL ROAD",TUCKER,GA,30084,33.823244,-84.250979,1,range_interpolation,1350,"Montreal Rd",,,Tucker,GA,"DeKalb County",30084,US,"TIGER/Line® dataset from the US Census Bureau"
"5825 GLENRIDGE DRIVE",ATLANTA,GA,30328,33.914076,-84.361494,1,rooftop,5825,"Glenridge Dr",,,Atlanta,GA,"Fulton County",30328,US,"City of Sandy Springs"
"710 BREEDLOVE DR",MONROE,GA,30655,33.783711,-83.722281,1,range_interpolation,710,"Breedlove Dr",,,Monroe,GA,"Walton County",30655,US,"TIGER/Line® dataset from the US Census Bureau"
"157 CLINIC AVENUE",CARROLLTON,GA,30117,33.569708,-85.076416,1,rooftop,157,"Clinic Ave",,,Carrollton,GA,"Carroll County",30117,US,Carroll
"121 LINDEN AVENUE NE",ATLANTA,GA,30308,33.769546,-84.383198,1,rooftop,121,"Linden Ave NE",,,Atlanta,GA,"Fulton County",30308,US,"City of Atlanta"
"3645 BAKERS FERRY ROAD",ATLANTA,GA,30331,33.760282,-84.507361,0.9,rooftop,3645,"Bakers Ferry Rd SW",,,Atlanta,GA,"Fulton County",30331,US,"City of Atlanta"
"3865 MEDICAL PARK DRIVE",AUSTELL,GA,30106,33.859649,-84.602326,1,rooftop,3865,"Medical Park Dr",,,Austell,GA,"Cobb County",30106,US,Cobb
"2565 THOMPSON BRIDGE ROAD",GAINESVILLE,GA,30501,34.339175,-83.848583,1,rooftop,2565,"Thompson Bridge Rd",,,Gainesville,GA,"Hall County",30501,US,Hall
"242 BULLSBORO DR",NEWNAN,GA,30263,33.393196,-84.767954,1,rooftop,242,"Bullsboro Dr",,,Newnan,GA,"Coweta County",30263,US,Coweta
"1440 NORTH CHASE STREET",ATHENS,GA,30601,33.975888,-83.392908,1,rooftop,1440,"N Chase St",,,Athens,GA,"Clarke County",30601,US,"City of Athens"
"105 TOMMY STALNAKER DRIVE","WARNER ROBINS",GA,31088,32.612276,-83.692077,1,rooftop,105,"Tommy Stalnaker Dr",,,"Warner Robins",GA,"Houston County",31088,US,Houston
"2400 BELLEVUE ROAD",DUBLIN,GA,31021,32.527853,-82.942035,1,rooftop,2400,"Bellevue Rd",,,Dublin,GA,"Laurens County",31021,US,Laurens
"3899 LONGVIEW DRIVE",DOUGLASVILLE,GA,30135,33.743882,-84.703271,1,rooftop,3899,"Longview Dr",,,Douglasville,GA,"Douglas County",30135,US,Douglas
"315 W. 10TH STREET, NE",ROME,GA,30165,34.263133,-85.178944,1,rooftop,315,"W 10th St",,,Rome,GA,"Floyd County",30165,US,Floyd
"5303 MONTGOMERY ST",SAVANNAH,GA,31405,32.031251,-81.115126,1,rooftop,5303,"Montgomery St",,,Savannah,GA,"Chatham County",31405,US,"City of Savannah"
"449 INDUSTRIAL BLVD #240",ELLIJAY,GA,30540,34.686074,-84.483048,0.6,street_center,,"Industrial Blvd",#,240,Ellijay,GA,"Gilmer County",30540,US,"TIGER/Line® dataset from the US Census Bureau"
"3372 ACWORTH SUMMIT BLVD",ACWORTH,GA,30101,34.037718,-84.676437,1,rooftop,3372,"Acworth Summit Blvd",,,Acworth,GA,"Cobb County",30101,US,Cobb
"105 PROFESSIONAL PLACE",CALHOUN,GA,30701,34.497806,-84.926685,1,rooftop,105,Professional,,,Calhoun,GA,"Gordon County",30701,US,"Gordon County"
"4585 NELSON BROGDON BLVD",BUFORD,GA,30518,34.100605,-84.018381,1,rooftop,4585,"Nelson Brogdon Blvd",,,Buford,GA,"Gwinnett County",30518,US,Gwinnett
"747 SECOND STREET",MACON,GA,31201,32.832295,-83.633134,1,rooftop,747,"2nd St",,,Macon,GA,"Bibb County",31201,US,Bibb
"2525 SECOND STREET",MACON,GA,31206,32.81425,-83.646845,1,rooftop,2525,"2nd St",,,Macon,GA,"Bibb County",31206,US,Bibb
"2400 BELLEVUE RD, STE 29 A",DUBLIN,GA,31021,32.527853,-82.942035,1,rooftop,2400,"Bellevue Rd",Ste,29B,Dublin,GA,"Laurens County",31021,US,Laurens
"1220 SILOAM ROAD",GREENSBORO,GA,30642,33.571865,-83.168735,0.9,range_interpolation,1220,"Siloam Rd",,,Greensboro,GA,"Greene County",30642,US,"TIGER/Line® dataset from the US Census Bureau"
"419 E. MAIN STREET",CARTERSVILLE,GA,30120,34.166103,-84.791396,1,range_interpolation,419,"E Main St",,,Cartersville,GA,"Bartow County",30120,US,"TIGER/Line® dataset from the US Census Bureau"
"200 COBB PKWY N",MARIETTA,GA,30062,33.954706,-84.521088,1,rooftop,200,"Cobb Pkwy N",,,Marietta,GA,"Cobb County",30062,US,"City of Marietta"
"1002 WILLIAMS ST",HOGANSVILLE,GA,30230,33.159384,-84.873301,1,rooftop,1002,"Williams St",,,Hogansville,GA,"Troup County",30230,US,Troup
"1705 BELLE MEADE CT STE 110",LAWRENCEVILLE,GA,30043,33.962764,-84.055544,1,rooftop,1705,"Belle Meade Ct",Ste,110,Lawrenceville,GA,"Gwinnett County",30043,US,Gwinnett
"696 INDUSTRIAL PARK DR",EVANS,GA,30809,33.550958,-82.122615,0.9,range_interpolation,696,"Industrial Park Dr",,,Evans,GA,"Columbia County",30809,US,"TIGER/Line® dataset from the US Census Bureau"
"1070 BUFORD HIGHWAY",CUMMING,GA,30041,34.174947,-84.130753,1,rooftop,1070,"Buford Hwy",,,Cumming,GA,"Forsyth County",30041,US,Forsyth
"1856 THOMPSON BRIDGE ROAD",GAINESVILLE,GA,30501,34.329938,-83.837629,1,rooftop,1856,"Thompson Bridge Rd",,,Gainesville,GA,"Hall County",30501,US,Hall
"118 OSIGIAN BLVD","WARNER ROBINS",GA,31088,32.614689,-83.682395,1,rooftop,118,"Osigian Blvd",,,"Warner Robins",GA,"Houston County",31088,US,Houston
"2840 EAST WEST CONNECTOR",AUSTELL,GA,30106,33.836897,-84.630729,0.33,place,,,,,Austell,GA,"Cobb County",30106,US,"TIGER/Line® dataset from the US Census Bureau"
"497 WINN WAY SUITE 160",DECATUR,GA,30030,33.789692,-84.27959,1,range_interpolation,497,"Winn Way",Ste,160,Decatur,GA,"DeKalb County",30030,US,"TIGER/Line® dataset from the US Census Bureau"
"14 ROVING ROAD SE",CARTERSVILLE,GA,30121,34.198429,-84.785147,1,rooftop,14,"Roving Rd",,,Cartersville,GA,"Bartow County",30121,US,Bartow
"140 OLD MILL ROAD",LAGRANGE,GA,30241,33.035284,-85.013591,1,rooftop,140,"Old Mill Rd",,,Lagrange,GA,"Troup County",30241,US,Troup
"5673 PEACHTREE DUNWOODY ROAD",ATLANTA,GA,30342,33.910154,-84.35026,1,rooftop,5673,"Peachtree Dunwoody Rd",,,Atlanta,GA,"Fulton County",30342,US,"City of Sandy Springs"
"429 LOGANVILLE HIGHWAY",WINDER,GA,30680,33.971422,-83.743345,1,range_interpolation,429,"Loganville Hwy",,,Winder,GA,"Barrow County",30680,US,"TIGER/Line® dataset from the US Census Bureau"
"640 MARTIN LUTHER KING JR BLVD",MACON,GA,31201,32.831503,-83.628004,1,rooftop,640,"Martin Luther King Jr Blvd",,,Macon,GA,"Bibb County",31201,US,Bibb
"299 PLAZA DRIVE",MONROE,GA,30655,33.798597,-83.725873,0.2,street_center,,"Plaza Trce",,,Monroe,GA,"Walton County",30655,US,"TIGER/Line® dataset from the US Census Bureau"
"190 WESTSIDE DRIVE",DOUGLAS,GA,31533,31.510259,-82.861867,1,rooftop,190,"Westside Dr",,,Douglas,GA,"Coffee County",31533,US,Coffee
"7444 HANNOVER PARKWAY",STOCKBRIDGE,GA,30281,33.551412,-84.270433,1,rooftop,7444,"Hannover Pkwy S",,,Stockbridge,GA,"Clayton County",30281,US,"Clayton County"
"890 SECOND STREET",MACON,GA,31201,32.830183,-83.63381,1,rooftop,890,"2nd St",,,Macon,GA,"Bibb County",31201,US,Bibb
"101 WERZ INDUSTRIAL DRIVE",NEWNAN,GA,30263,33.3997,-84.762696,1,rooftop,101,"Werz Industrial Dr",,,Newnan,GA,"Coweta County",30263,US,Coweta
"3138 GOLF RIDGE BOULEVARD",DOUGLASVILLE,GA,30135,33.718577,-84.7238,1,rooftop,3138,"Golf Ridge Blvd",,,Douglasville,GA,"Douglas County",30135,US,Douglas
"5255 SNAPFINGER PARK DRIVE SUITE 115",DECATUR,GA,30035,33.704301,-84.174228,1,rooftop,5255,"Snapfinger Park Dr",Ste,115,Decatur,GA,"DeKalb County",30035,US,Dekalb
"185 OLD PEACHTREE ROAD NW",SUWANEE,GA,30024,34.024543,-84.050193,0.8,rooftop,185,"Old Peachtree Rd",,,Suwanee,GA,"Gwinnett County",30024,US,Gwinnett
"2096 MCGEE ROAD",SNELLVILLE,GA,30078,33.858722,-84.039596,0.9,range_interpolation,2096,"Mcgee Rd",,,Snellville,GA,"Gwinnett County",30078,US,"TIGER/Line® dataset from the US Census Bureau"
"1032 BATEMAN DR","SOCIAL CIRCLE",GA,30025,33.67654,-83.709729,1,range_interpolation,1032,"Bateman Dr",,,"Social Circle",GA,"Walton County",30025,US,"TIGER/Line® dataset from the US Census Bureau"
"6228 BRADLEY PARK DRIVE",COLUMBUS,GA,31904,32.534745,-84.963273,1,rooftop,6228,"Bradley Park Dr",,,Columbus,GA,"Muscogee County",31904,US,"Muscogee County"
"4434 HUGH HOWELL RD",TUCKER,GA,30084,33.850862,-84.206515,1,rooftop,4434,"Hugh Howell Rd",,,Tucker,GA,"DeKalb County",30084,US,Dekalb
"150 GENTILLY BOULEVARD",CARTERSVILLE,GA,30120,34.185321,-84.790137,1,rooftop,150,"Gentilly Bv",,,Cartersville,GA,"Bartow County",30120,US,Bartow
"567 NORTH AVE NE STE 200",ATLANTA,GA,30308,33.770715,-84.368634,1,rooftop,567,"North Ave NE",Ste,200,Atlanta,GA,"Fulton County",30308,US,"City of Atlanta"
"225 PLAZA DRIVE",MONROE,GA,30655,33.798597,-83.725873,0.2,street_center,,"Plaza Trce",,,Monroe,GA,"Walton County",30655,US,"TIGER/Line® dataset from the US Census Bureau"
"53 SCRANTON CONNECTOR",BRUNSWICK,GA,31525,31.221465,-81.489036,0.9,range_interpolation,53,"Scranton Rd Con",,,Brunswick,GA,"Glynn County",31525,US,"TIGER/Line® dataset from the US Census Bureau"
"1380 VETERANS MEMORIAL HWY SW",MABLETON,GA,30126,33.815422,-84.595839,1,range_interpolation,1380,"Us Hwy 278",,,Mableton,GA,"Cobb County",30126,US,"TIGER/Line® dataset from the US Census Bureau"
"11135 COLUMBIA STREET",BLAKELY,GA,39823,31.369885,-84.954668,0.65,nearest_rooftop_match,11168,"Columbia St",,,Blakely,GA,"Early County",39823,US,Early
"1285 WELLBROOK CIRCLE",CONYERS,GA,30012,33.679179,-84.002973,0.9,range_interpolation,1285,"Wellbrook Cir NE",,,Conyers,GA,"Rockdale County",30012,US,"TIGER/Line® dataset from the US Census Bureau"
"4179 BAKER ST",COVINGTON,GA,30014,33.605025,-83.853706,1,rooftop,4179,"Baker St",,,Covington,GA,"Newton County",30014,US,Newton
"2240 WEST ELM STREET",WRIGHTSVILLE,GA,31096,32.7284,-82.731802,1,range_interpolation,2240,"W Elm St",,,Wrightsville,GA,"Johnson County",31096,US,"TIGER/Line® dataset from the US Census Bureau"
"114 DEVAUGHN AVENUE",MONTEZUMA,GA,31063,32.295801,-84.030098,1,range_interpolation,114,"Devaughn Ave",,,Montezuma,GA,"Macon County",31063,US,"TIGER/Line® dataset from the US Census Bureau"
"2349 SPARTA WAY",BUFORD,GA,30519,34.107979,-83.877999,1,rooftop,2349,"Sparta Way",,,Buford,GA,"Hall County",30519,US,Hall
"415 SOUTH DIXON STREET",ALMA,GA,31510,31.538634,-82.468799,1,rooftop,415,"S Dixon St",,,Alma,GA,"Bacon County",31510,US,"City of Alma"
"2516 TOBACCO RD",HEPHZIBAH,GA,30815,33.375395,-82.07484,0.82,nearest_rooftop_match,2514,"Tobacco Rd",,,Hephzibah,GA,"Richmond County",30815,US,Richmond
"1078 PLAZA AVE",EASTMAN,GA,31023,32.186113,-83.175541,0.6,street_center,,"Plaza Ave",,,Eastman,GA,"Dodge County",31023,US,"TIGER/Line® dataset from the US Census Bureau"
"1370 BUFORD HIGHWAY STE 110",CUMMING,GA,30041,34.168198,-84.123734,1,rooftop,1370,"Buford Hwy",Ste,110,Cumming,GA,"Forsyth County",30041,US,Forsyth
"1115 SOUTH PATTERSON STREET",VALDOSTA,GA,31601,30.81692,-83.268253,1,range_interpolation,1115,"S Patterson St",,,Valdosta,GA,"Lowndes County",31601,US,"TIGER/Line® dataset from the US Census Bureau"
"1065 E. FRANKLIN STREET",HARTWELL,GA,30643,34.357125,-82.938422,0.3,range_interpolation,1065,"W Franklin Pl",,,Hartwell,GA,"Hart County",30643,US,"TIGER/Line® dataset from the US Census Bureau"
"411 HOSPITAL ROAD",CANTON,GA,30114,34.24942,-84.491745,1,rooftop,411,"Hospital Rd",,,Canton,GA,"Cherokee County",30114,US,Cherokee
"5723 MEMORIAL DR","STONE MOUNTAIN",GA,30083,33.800467,-84.204208,1,rooftop,5723,"Memorial Dr",,,"Stone Mountain",GA,"DeKalb County",30083,US,Dekalb
"1250 NORTH MEADOW PKWY",ROSWELL,GA,30076,34.027783,-84.320162,0.33,place,,,,,Roswell,GA,"Fulton County",30076,US,"TIGER/Line® dataset from the US Census Bureau"
"1302 N 5TH STREET EXT",CORDELE,GA,31015,31.955012,-83.779397,0.9,range_interpolation,1302,"S 5th St",,,Cordele,GA,"Crisp County",31015,US,"TIGER/Line® dataset from the US Census Bureau"
"181 UPPER RIVERDALE RD",RIVERDALE,GA,30274,33.575181,-84.396376,0.9,rooftop,181,"Upper Riverdale Rd SW",,,Riverdale,GA,"Clayton County",30274,US,"Clayton County"
"1009 PROFESSIONAL BLVD",DALTON,GA,30720,34.792991,-84.984562,1,rooftop,1009,"Professional Blvd",,,Dalton,GA,"Whitfield County",30720,US,Whitfield
"1311 ATLANTA HIGHWAY SUITE A",MADISON,GA,30650,33.58098,-83.489297,0.9,range_interpolation,1311,"Atlanta Hwy",Ste,A,Madison,GA,"Morgan County",30650,US,"TIGER/Line® dataset from the US Census Bureau"
"911 MARKET PLACE BLVD",CUMMING,GA,30041,34.181644,-84.133622,1,rooftop,911,"Market Place Blvd",,,Cumming,GA,"Forsyth County",30041,US,Forsyth
"2545 SULLIVAN ROAD","COLLEGE PARK",GA,30337,33.624864,-84.47284,1,rooftop,2545,"Sullivan Rd",,,Atlanta,GA,"Fulton County",30337,US,"Fulton County"
"2685 METROPOLITAN PARKWAY SW",ATLANTA,GA,30315,33.682441,-84.408952,1,rooftop,2685,"Metropolitan Pkwy SW",,,Atlanta,GA,"Fulton County",30315,US,"Fulton County"
"3492 WASHINGTON ROAD",ATLANTA,GA,30344,33.659847,-84.476589,1,rooftop,3492,"Washington Rd",,,Atlanta,GA,"Fulton County",30344,US,"Fulton County"
"231 NW 14TH ST NW",ATLANTA,GA,30318,33.786777,-84.394798,1,rooftop,231,"14th St NW",,,Atlanta,GA,"Fulton County",30318,US,"City of Atlanta"
"98 ARTHUR STREET",HARTWELL,GA,30643,34.349219,-82.939399,0.6,street_center,,"Arthur St",,,Hartwell,GA,"Hart County",30643,US,"TIGER/Line® dataset from the US Census Bureau"
"2450 MT. ZION PARKWAY",JONESBORO,GA,30236,33.557244,-84.309616,1,rooftop,2450,"Mt Zion Pkwy",,,Jonesboro,GA,"Clayton County",30236,US,"Clayton County"
"1989 STAMBUK LANE",STATESBORO,GA,30458,32.425,-81.784956,0.33,place,,,,,Statesboro,GA,"Bulloch County",30458,US,"TIGER/Line® dataset from the US Census Bureau"
"6085 HILLANDALE DRIVE",LITHONIA,GA,30058,33.70502,-84.142859,1,rooftop,6085,"Hillandale Dr",,,Lithonia,GA,"DeKalb County",30058,US,Dekalb
"444 PARK 20 WEST DRIVE",GROVETOWN,GA,30813,33.479619,-82.137619,1,range_interpolation,444,"Park 20 W",,,Grovetown,GA,"Columbia County",30813,US,"TIGER/Line® dataset from the US Census Bureau"
"1686 PRINCE AVE",ATHENS,GA,30606,33.967402,-83.406335,0.9,rooftop,1686,"Prince Ave",,,Athens,GA,"Clarke County",30601,US,Clarke
"1279 HWY 54 WEST #110",FAYETTEVILLE,GA,30214,33.45156,-84.509932,1,rooftop,1279,"W Highway 54",#,110,Fayetteville,GA,"Fayette County",30214,US,Fayette
"2812 WILLIAMS ST",SAVANNAH,GA,31404,32.044353,-81.075754,1,rooftop,2812,"Williams St",,,Savannah,GA,"Chatham County",31404,US,"City of Savannah"
"3 MEDICAL CENTER DRIVE",SWAINSBORO,GA,30401,32.569871,-82.346181,0.33,place,,,,,Swainsboro,GA,"Emanuel County",30401,US,"TIGER/Line® dataset from the US Census Bureau"
"3770 HOWELL FERRY ROAD",DULUTH,GA,30096,33.998882,-84.168875,1,rooftop,3770,"Howell Ferry Rd",,,Duluth,GA,"Gwinnett County",30096,US,Gwinnett
"703 NORTH HOUSTON ROAD","WARNER ROBINS",GA,31093,32.627331,-83.642003,1,rooftop,703,"N Houston Rd",,,"Warner Robins",GA,"Houston County",31093,US,Houston
"113 MINUS AVENUE","GARDEN CITY",GA,31408,32.103455,-81.145582,1,rooftop,113,"Minis Ave",,,Savannah,GA,"Chatham County",31408,US,"City of Savannah"
"2042 WYNNTON ROAD",COLUMBUS,GA,31906,32.468874,-84.961437,1,rooftop,2042,"Wynnton Rd",,,Columbus,GA,"Muscogee County",31906,US,"Muscogee County"
"610 NORTHSIDE DRIVE NW",ATLANTA,GA,30318,33.771103,-84.407158,1,rooftop,610,"Northside Dr NW",,,Atlanta,GA,"Fulton County",30318,US,"Fulton County"
"1460 EAST VICTORY DRIVE",SAVANNAH,GA,31404,32.046337,-81.076978,1,rooftop,1460,"E Victory Dr",,,Savannah,GA,"Chatham County",31404,US,"City of Savannah"
"14 CHEROKEE RD",CEDARTOWN,GA,30125,34.050597,-85.23454,1,range_interpolation,14,"Cherokee Rd",,,Cedartown,GA,"Polk County",30125,US,"TIGER/Line® dataset from the US Census Bureau"
"3564 N. CROSSING CIRCLE",VALDOSTA,GA,31602,30.879937,-83.30795,1,rooftop,3564,"N Crossing Cir",,,Valdosta,GA,"Lowndes County",31602,US,Lowndes
"2721 IRWIN WAY",DECATUR,GA,30030,33.772554,-84.291723,0.33,place,,,,,Decatur,GA,"DeKalb County",30030,US,"TIGER/Line® dataset from the US Census Bureau"
"1501 MILSTEAD RD NE",CONYERS,GA,30012,33.680753,-83.997962,0.9,range_interpolation,1501,"Milstead Rd NE",,,Conyers,GA,"Rockdale County",30012,US,"TIGER/Line® dataset from the US Census Bureau"
"4645 TIMBER RIDGE ROAD",DOUGLASVILLE,GA,30135,33.7355,-84.730495,1,rooftop,4645,"Timber Ridge Dr",,,Douglasville,GA,"Douglas County",30135,US,Douglas
"1747 LANGFORD DRIVE",WATKINSVILLE,GA,30677,33.8629,-83.40877,0.33,place,,,,,Watkinsville,GA,"Oconee County",30677,US,"TIGER/Line® dataset from the US Census Bureau"
"209 BENNETTE BLVD",ELLENWOOD,GA,30294,33.617475,-84.241916,1,rooftop,209,"Bennette Blvd",,,Ellenwood,GA,"Henry County",30294,US,Henry
"3431 HWY 81 S",LOGANVILLE,GA,30052,33.819214,-83.876984,0.9,range_interpolation,3431,"State Rte 81",,,Loganville,GA,"Walton County",30052,US,"TIGER/Line® dataset from the US Census Bureau"
"165 EMERY HIGHWAY SUITE 101",MACON,GA,31217,32.848093,-83.623981,1,rooftop,165,"Emery Hwy",Ste,101,Macon,GA,"Bibb County",31217,US,Macon
"308 CARSWELL AVE",WAYCROSS,GA,31501,31.213382,-82.358743,1,rooftop,308,"Carswell Ave",,,Waycross,GA,"Ware County",31501,US,Ware
"260 HOSPITAL ROAD",CANTON,GA,30114,34.24721,-84.492169,1,rooftop,260,"Hospital Rd",,,Canton,GA,"Cherokee County",30114,US,Cherokee
"557 BLUEBIRD BLVD","FORT VALLEY",GA,31030,32.560698,-83.854528,0.33,place,,,,,"Fort Valley",GA,"Peach County",31030,US,"TIGER/Line® dataset from the US Census Bureau"
"3870 PEACHTREE INDUSTRIAL BOULEVARD NW",DULUTH,GA,30096,33.987877,-84.168618,1,rooftop,3870,"Peachtree Industrial Blvd",,,Duluth,GA,"Gwinnett County",30096,US,Gwinnett
"5250 SNAPFINGER PARK DRIVE",DECATUR,GA,30035,33.70535,-84.175888,1,rooftop,5250,"Snapfinger Park Dr",,,Decatur,GA,"DeKalb County",30035,US,Dekalb
"800 VIRGINIA AVE",HAPEVILLE,GA,30354,33.660353,-84.414801,1,rooftop,800,"Virginia Ave",,,Atlanta,GA,"Fulton County",30354,US,"Fulton County"
"1200 BROOKSTONE CENTRE PARKWAY",COLUMBUS,GA,31904,32.535162,-84.980669,1,range_interpolation,1200,"Brookstone Centre Pkwy",,,Columbus,GA,"Muscogee County",31904,US,"TIGER/Line® dataset from the US Census Bureau"
"794 MCDONOUGH ROAD",JACKSON,GA,30233,33.302657,-83.97698,1,range_interpolation,794,"McDonough Rd",,,Jackson,GA,"Butts County",30233,US,"TIGER/Line® dataset from the US Census Bureau"
"2704 N OAK STREET BUILDING H",VALDOSTA,GA,31602,30.865008,-83.293617,0.5,rooftop,2704,"N N Oak St",Bldg,H,Valdosta,GA,"Lowndes County",31602,US,Lowndes
"2001 PROFESSIONAL PARKWAY",WOODSTOCK,GA,30188,34.083096,-84.521735,1,rooftop,2001,"Professional Pkwy",,,Woodstock,GA,"Cherokee County",30188,US,Cherokee
"1020 WEST HILL STREET",THOMSON,GA,30824,33.463117,-82.4979,0.6,street_center,,"State Rte 10",,,Thomson,GA,"McDuffie County",30824,US,"TIGER/Line® dataset from the US Census Bureau"
"1432 E FORSYTH ST",AMERICUS,GA,31709,32.073661,-84.214668,1,rooftop,1432,"E Forsyth St",,,Americus,GA,"Sumter County",31709,US,"Sumter County"
"1901 HONEY CREEK COMMONS",CONYERS,GA,30013,33.591792,-84.05074,0.7,range_interpolation,1901,"Honey Creek Rd SW",,,Conyers,GA,"Rockdale County",30094,US,"TIGER/Line® dataset from the US Census Bureau"
